Dealer Billing Statement for: April 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,11/4/2025,5390,11/4/2025,6/4/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H63TA005390,,"$39,403.00 ","$39,403.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$39,403.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$163.02 ,$0.00 ,$0.00 ,$0.00 ,$163.02 ,$985.44 ,"$39,403.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2026,5405,3/24/2026,10/24/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H46TL005405,A8073,"$55,332.40 ","$55,332.40 ",$0.00 ,,"($55,332.40)",$0.00 ,"($55,332.40)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$15.26 ,$0.00 ,$0.00 ,$0.00 ,$15.26 ,$76.34 ,"$3,688.83 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/17/2026,5419,3/17/2026,10/17/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H46TL005419,A8048,"$55,897.60 ","$55,897.60 ",$0.00 ,,"($55,897.60)",$0.00 ,"($55,897.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$223.56 ,$0.00 ,$0.00 ,$0.00 ,$223.56 ,$339.26 ,"$54,034.35 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/24/2026,5480,3/24/2026,10/24/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H49TL005480,A8102,"$55,332.40 ","$55,332.40 ",$0.00 ,,"($55,332.40)",$0.00 ,"($55,332.40)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$61.05 ,$0.00 ,$0.00 ,$0.00 ,$61.05 ,$122.13 ,"$14,755.31 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/24/2025,5489,12/24/2025,7/24/2027,2026 Acura ACURARDXSHWDA,Automobile,ACURARDXSHWDA,5J8TC2H68TL005489,,"$50,086.20 ","$50,086.20 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$50,086.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$207.22 ,$0.00 ,$0.00 ,$0.00 ,$207.22 ,$888.63 ,"$50,086.20 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,2/13/2026,5629,2/13/2026,9/13/2027,2026 Acura INTEGRA,Automobile,INTEGRA,19UDE4G79TA005629,A7950,"$39,403.00 ","$39,403.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$39,403.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$163.02 ,$0.00 ,$0.00 ,$0.00 ,$163.02 ,$418.64 ,"$39,403.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/27/2026,5676,3/27/2026,10/27/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H44TL005676,A8129,"$55,897.60 ","$55,897.60 ",$0.00 ,,"($55,897.60)",$0.00 ,"($55,897.60)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$115.63 ,$0.00 ,$0.00 ,$0.00 ,$115.63 ,$154.20 ,"$27,948.80 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,3/31/2026,5755,3/31/2026,10/31/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H40TL005755,,"$55,332.40 ","$55,332.40 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,332.40 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$228.93 ,$0.00 ,$0.00 ,$0.00 ,$228.93 ,$236.57 ,"$55,332.40 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,11/18/2025,5756,11/18/2025,6/18/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H30TA005756,,"$36,354.90 ","$36,354.90 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$36,354.90 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$150.41 ,$0.00 ,$0.00 ,$0.00 ,$150.41 ,$834.51 ,"$36,354.90 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/30/2026,5862,4/30/2026,11/30/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H41TL005862,,"$55,332.40 ",$0.00 ,"$55,332.40 ",4/30/2026,$0.00 ,$0.00 ,"$55,332.40 ","$55,332.40 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$7.63 ,$0.00 ,$0.00 ,$0.00 ,$7.63 ,$7.63 ,"$1,844.41 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,4/10/2026,5987,4/10/2026,11/10/2027,2026 Acura ACURAMDX,Automobile,ACURAMDX,5J8YD9H30TL005987,,"$51,955.00 ",$0.00 ,"$51,955.00 ",4/10/2026,$0.00 ,$0.00 ,"$51,955.00 ","$51,955.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$150.47 ,$0.00 ,$0.00 ,$0.00 ,$150.47 ,$150.47 ,"$36,368.50 "
