Dealer Billing Statement for: February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fort Worth Dealership Acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/16/2025,3424,12/16/2025,7/16/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H40TL003424,,"$55,797.60 ","$55,797.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,797.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$215.79 ,$0.00 ,$0.00 ,$0.00 ,$215.79 ,$584.56 ,"$55,797.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/16/2025,3480,12/16/2025,7/16/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H4XTL003480,,"$55,797.60 ","$55,797.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,797.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$215.79 ,$0.00 ,$0.00 ,$0.00 ,$215.79 ,$584.56 ,"$55,797.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/5/2025,3524,12/5/2025,7/5/2027,2026 Acura ACURARDXSHWD,Automobile,ACURARDXSHWD,5J8TC2H49TL003524,A7791,"$45,893.70 ","$45,893.70 ",$0.00 ,,"($45,893.70)",$0.00 ,"($45,893.70)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$107.77 ,$0.00 ,$0.00 ,$0.00 ,$107.77 ,$483.61 ,"$27,864.03 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/21/2025,3549,10/21/2025,5/21/2027,2026 Acura ACURAINTEG,Automobile,ACURAINTEG,19UDE4H28TA003549,A7701,"$34,336.00 ","$34,336.00 ",$0.00 ,,"($34,336.00)",$0.00 ,"($34,336.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$123.31 ,$0.00 ,$0.00 ,$0.00 ,$123.31 ,$632.72 ,"$31,883.43 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,12/5/2025,3621,12/5/2025,7/5/2027,2026 Acura ACURARDXSHWDT,Automobile,ACURARDXSHWDT,5J8TC2H56TL003621,,"$47,331.60 ","$47,331.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$47,331.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$183.04 ,$0.00 ,$0.00 ,$0.00 ,$183.04 ,$570.66 ,"$47,331.60 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/21/2025,3698,10/21/2025,5/21/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H32TA003698,,"$36,354.90 ","$36,354.90 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$36,354.90 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$140.60 ,$0.00 ,$0.00 ,$0.00 ,$140.60 ,$679.97 ,"$36,354.90 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/21/2025,3774,10/21/2025,5/21/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H60TA003774,,"$39,403.00 ","$39,403.00 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$39,403.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$0.00 ,$0.00 ,$0.00 ,$152.38 ,$736.98 ,"$39,403.00 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/21/2025,3792,10/21/2025,5/21/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H62TA003792,,"$39,403.00 ","$39,403.00 ",$0.00 ,,"($39,403.00)",$0.00 ,"($39,403.00)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$136.06 ,$0.00 ,$0.00 ,$0.00 ,$136.06 ,$720.66 ,"$35,181.25 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,10/21/2025,3844,10/21/2025,5/21/2027,2026 Acura ACURAINTEGA-S,Automobile,ACURAINTEGA-S,19UDE4H39TA003844,A7716,"$36,354.90 ","$36,354.90 ",$0.00 ,,"($36,354.90)",$0.00 ,"($36,354.90)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$15.09 ,$0.00 ,$0.00 ,$0.00 ,$15.09 ,$554.46 ,"$3,895.17 "
"3125 NE Loop 820  Fort Worth, TX 76110",Acura,Auto - Acura Plant (Floorplan-New) - East,1/22/2026,3976,1/22/2026,8/22/2027,2026 Acura ACURAMDXTE,Automobile,ACURAMDXTE,5J8YD9H46TL003976,,"$55,897.60 ","$55,897.60 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$55,897.60 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$216.17 ,$0.00 ,$0.00 ,$0.00 ,$216.17 ,$293.80 ,"$55,897.60 "
