Dealer Billing Statement for: February 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hiley Cars Fort Worth, LP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Manufacturer Name,Plant Name,Invoice Date,Invoice Number,Interest Start Date,Maturity Date,Description,Type,Model Number,Serial No/VIN,Stock/Lease No,Original Amount,Beginning Balance,Advances,Last Advance Date,Principal Payments,Principal Adjustments,Monthly Activity,Ending Balance,Current Curtailments,Past Due Curtailments,Current Maturities,Past Due Maturities,Total Principal Due,Interest Amount,Prior Period Interest Billed Current Month,Flat Charges Amount,Item Fee Amount,Total Interest / Charges / Fees Due,Inception to Date Interest,Average Daily Billing Balance
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,89144,2/17/2026,9/17/2027,2026 Buick ENCORE,Automobile,ENCORE,KL4AMFSL8TB089144,B36286,"$22,964.20 ",$0.00 ,"$22,964.20 ",2/17/2026,$0.00 ,$0.00 ,"$22,964.20 ","$22,964.20 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$38.05 ,$0.00 ,$0.00 ,$0.00 ,$38.05 ,$38.05 ,"$9,841.80 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,12/1/2025,93464,12/1/2025,7/1/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LAEP4TB093464,,"$27,427.03 ","$27,427.03 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$27,427.03 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$106.07 ,$0.00 ,$0.00 ,$0.00 ,$106.07 ,$346.45 ,"$27,427.03 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,12/12/2025,101277,12/12/2025,7/12/2027,2026 Buick BUCK ENCOR G,Automobile,BUCK ENCOR G,KL4AMBSL0TB101277,B36042,"$29,110.53 ","$29,110.53 ",$0.00 ,,"($29,110.53)",$0.00 ,"($29,110.53)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$20.12 ,$0.00 ,$0.00 ,$0.00 ,$20.12 ,$229.24 ,"$5,198.31 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,1/2/2026,102154,1/2/2026,8/2/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LAEP3TB102154,,"$27,467.05 ","$27,467.05 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$27,467.05 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$106.22 ,$0.00 ,$0.00 ,$0.00 ,$106.22 ,$220.65 ,"$27,467.05 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,102572,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LBEP2TB102572,B36268,"$30,438.81 ",$0.00 ,"$30,438.81 ",2/17/2026,$0.00 ,$0.00 ,"$30,438.81 ","$30,438.81 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$50.44 ,$0.00 ,$0.00 ,$0.00 ,$50.44 ,$50.44 ,"$13,045.20 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,12/31/2025,104485,12/31/2025,7/31/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LAEP3TB104485,,"$27,924.93 ","$27,924.93 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$27,924.93 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$108.00 ,$0.00 ,$0.00 ,$0.00 ,$108.00 ,$232.36 ,"$27,924.93 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,9/23/2024,106039,9/23/2024,4/23/2026,2025 Buick BUCK ENCLV E,Automobile,BUCK ENCLV E,5GAERBRS4SJ106039,,"$54,687.80 ","$32,812.68 ",$0.00 ,,"($5,468.78)",$0.00 ,"($5,468.78)","$27,343.90 ","$5,468.78 ",$0.00 ,$0.00 ,$0.00 ,"$5,468.78 ",$113.31 ,$0.00 ,$0.00 ,$0.00 ,$113.31 ,"$4,129.50 ","$29,297.04 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,1/8/2026,106494,1/8/2026,8/8/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LAEP3TB106494,,"$27,924.93 ","$27,924.93 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$27,924.93 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$108.00 ,$0.00 ,$0.00 ,$0.00 ,$108.00 ,$201.07 ,"$27,924.93 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,1/14/2026,109029,1/14/2026,8/14/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LAEP2TB109029,,"$27,924.93 ","$27,924.93 ",$0.00 ,,$0.00 ,$0.00 ,$0.00 ,"$27,924.93 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$108.00 ,$0.00 ,$0.00 ,$0.00 ,$108.00 ,$177.81 ,"$27,924.93 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,1/12/2026,109045,1/12/2026,8/12/2027,2026 Buick BUCK ENVIST,Automobile,BUCK ENVIST,KL47LAEP0TB109045,B36164,"$27,924.93 ","$27,924.93 ",$0.00 ,,"($27,924.93)",$0.00 ,"($27,924.93)",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$69.44 ,$0.00 ,$0.00 ,$0.00 ,$69.44 ,$147.00 ,"$17,951.74 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,109357,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LBEP0TB109357,B36265,"$30,438.81 ",$0.00 ,"$30,438.81 ",2/17/2026,$0.00 ,$0.00 ,"$30,438.81 ","$30,438.81 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$50.44 ,$0.00 ,$0.00 ,$0.00 ,$50.44 ,$50.44 ,"$13,045.20 "
"3535 West Loop 820 South  Fort Worth, TX 76116",Buick,Auto - Buick Plant - New - E,2/17/2026,109942,2/17/2026,9/17/2027,2026 Buick ENVISTA,Automobile,ENVISTA,KL47LBEP0TB109942,B36266,"$29,891.40 ",$0.00 ,"$29,891.40 ",2/17/2026,$0.00 ,$0.00 ,"$29,891.40 ","$29,891.40 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$49.53 ,$0.00 ,$0.00 ,$0.00 ,$49.53 ,$49.53 ,"$12,810.60 "
